petitions_per_entity_bin,fy2021,fy2022,fy2023,fy2024,fy2025,five_year_total,five_year_average,percentage_stated,cumulative_percentage_stated
1,25363,27175,25366,29298,32544,139746,27949,54.69,54.69
2 to 10,16068,17624,16728,19022,20413,89855,17971,35.17,89.86
11 to 30,3112,3705,3297,3687,3674,17475,3495,6.84,96.70
31 to 50,663,857,679,744,744,3687,737,1.44,98.14
51 to 75,338,382,313,316,299,1648,330,0.64,98.79
76 to 100,157,179,134,169,165,804,161,0.31,99.10
101 to 150,154,180,143,162,202,841,168,0.33,99.43
151 to 200,93,91,85,70,86,425,85,0.17,99.60
201 to 250,45,54,43,51,53,246,49,0.10,99.70
251 to 300,29,40,29,37,32,167,33,0.07,99.76
301 to 400,15,22,16,18,13,84,17,0.03,99.79
401 to 500,35,33,29,25,46,168,34,0.07,99.86
501 to 1000,35,47,32,39,46,199,40,0.08,99.94
1000 to 5000,22,27,26,25,25,125,25,0.05,99.99
5001 to 10000,6,7,5,5,7,30,6,0.01,100.00
Above 10000,1,1,1,1,1,5,1,0.00,100.00
