h1b_petitioner,cap_fy2026_registrations,cap_fy2027_registrations,difference_stated,fy2025_initial_receipts,fy2025_consular_initial_receipts,share_consular_stated,share_consular_category_stated
Infosys Limited,8886,759,-8127,2315,2062,89.07,High
Tata Consultancy Services Limited,5955,284,-5671,1729,1483,85.77,High
Cognizant Technology Solutions US Corp,3752,0,-3752,1000,932,93.20,High
HCL America Inc.,3855,387,-3468,537,394,73.37,High
IBM Corporation,2855,126,-2729,831,724,87.12,High
"Capgemini America, Inc.",1703,213,-1490,542,409,75.46,High
Accenture LLP,1324,79,-1245,369,279,75.61,High
Microsoft Corporation,3640,2481,-1159,1402,662,47.22,Lower Medium
LTIMindtree Limited,1211,178,-1033,389,283,72.75,High
Ernst & Young U.S. LLP,1754,733,-1021,651,202,31.03,Lower Medium
Deloitte Consulting LLP,1205,209,-996,366,219,59.84,Upper Medium
Tech Mahindra Americas Inc.,1027,43,-984,287,271,94.43,High
Wipro Limited,985,112,-873,384,354,92.19,High
UST Global Inc,791,81,-710,195,179,91.79,High
Intel Corporation,1436,727,-709,598,96,16.05,Low
Bytedance Inc.,1286,595,-691,437,135,30.89,Lower Medium
TikTok Inc.,1102,521,-581,377,106,28.12,Low
"Wal-Mart Associates, Inc.",1456,880,-576,658,41,6.23,Low
Mphasis Corporation,582,79,-503,173,144,83.24,High
"Apple, Inc.",2705,2265,-440,1054,410,38.90,Lower Medium
Pramod Ratnakar Shenoy,510,75,-435,106,86,81.13,High
JPMorgan Chase & Co.,1359,935,-424,515,127,24.66,Low
Virtusa Corporation,529,134,-395,145,97,66.90,Upper Medium
"ExlService.com, LLC",577,197,-380,177,128,72.32,High
"Amazon Web Services, Inc.",1236,892,-344,530,62,11.70,Low
Robotics Technologies Llc,705,368,-337,48,23,47.92,Lower Medium
Deloitte & Touche LLP,522,300,-222,194,35,18.04,Low
"Micron Technology, Inc.",545,337,-208,193,26,13.47,Low
"Neurolens, Inc.",3733,3526,-207,1456,288,19.78,Low
Goldman Sachs & Co. LLC,1325,1139,-186,474,63,13.29,Low
