"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
"ZIP census tabulation area","State code","PUMA (2022)","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","zcta-to-puma22 allocation factor"
" ","01","01600","AL","[not in a ZCTA]","Talladega, Randolph, Cleburne & Clay Counties",5,0.0006 
" ","02","00200","AK","[not in a ZCTA]","Matanuska-Susitna & Kenai Peninsula Boroughs",45,0.0053 
" ","02","00300","AK","[not in a ZCTA]","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",135,0.0158 
" ","02","00400","AK","[not in a ZCTA]","Subsistence Alaska",1054,0.123 
" ","04","00134","AZ","[not in a ZCTA]","Maricopa County (West) & Gila River Indian Community (Northwest)",40,0.0047 
" ","04","00400","AZ","[not in a ZCTA]","Gila, Graham, Greenlee Counties",39,0.0046 
" ","04","00500","AZ","[not in a ZCTA]","Coconino County",114,0.0133 
" ","04","00601","AZ","[not in a ZCTA]","Mohave County North--City of Kingman & Bullhead City",27,0.0032 
" ","04","00701","AZ","[not in a ZCTA]","La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",1,0.0001 
" ","04","00805","AZ","[not in a ZCTA]","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",38,0.0044 
" ","04","00807","AZ","[not in a ZCTA]","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",13,0.0015 
" ","04","01000","AZ","[not in a ZCTA]","Navajo & Apache Counties",362,0.0422 
" ","04","02503","AZ","[not in a ZCTA]","Yavapai Rural",17,0.002 
" ","05","00600","AR","[not in a ZCTA]","East Arkansas",3,0.0004 
" ","05","01000","AR","[not in a ZCTA]","Pope, Johnson & Conway Counties",3,0.0004 
" ","05","01100","AR","[not in a ZCTA]","Sebastian, Crawford & Franklin Counties",8,0.0009 
" ","05","01200","AR","[not in a ZCTA]","West Arkansas",9,0.0011 
" ","05","01300","AR","[not in a ZCTA]","West Central Arkansas",3,0.0004 
" ","05","01400","AR","[not in a ZCTA]","Saline, Grant & Perry Counties",2,0.0002 
" ","05","01501","AR","[not in a ZCTA]","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",18,0.0021 
" ","06","00300","CA","[not in a ZCTA]","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",142,0.0166 
" ","06","00700","CA","[not in a ZCTA]","Butte County--Chico City",16,0.0019 
" ","06","01100","CA","[not in a ZCTA]","Colusa, Glenn, Tehama & Trinity Counties",188,0.0219 
" ","06","01308","CA","[not in a ZCTA]","Contra Costa County (Northeast)--Antioch City",3,0.0004 
" ","06","01500","CA","[not in a ZCTA]","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",134,0.0156 
" ","06","01700","CA","[not in a ZCTA]","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",17,0.002 
" ","06","01901","CA","[not in a ZCTA]","Fresno County (West)--Selma, Kerman & Coalinga Cities",3,0.0004 
" ","06","01907","CA","[not in a ZCTA]","Fresno County (East)--Sanger, Reedley & Parlier Cities",48,0.0056 
" ","06","02300","CA","[not in a ZCTA]","Humboldt County",23,0.0027 
" ","06","02905","CA","[not in a ZCTA]","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",109,0.0127 
" ","06","02906","CA","[not in a ZCTA]","Kern County (West)--Delano, Wasco & Shafter Cities",34,0.004 
" ","06","03100","CA","[not in a ZCTA]","Kings County--Hanford City",3,0.0004 
" ","06","03300","CA","[not in a ZCTA]","Lake & Mendocino Counties",31,0.0036 
" ","06","03768","CA","[not in a ZCTA]","Los Angeles County (Southwest)--Palos Verdes Peninsula",160,0.0187 
" ","06","03772","CA","[not in a ZCTA]","Los Angeles County (North/Unincorporated)--Castaic",10,0.0012 
" ","06","03900","CA","[not in a ZCTA]","Madera County--Madera City",5,0.0006 
" ","06","04701","CA","[not in a ZCTA]","Merced County (West & South)--Los Banos & Livingston Cities",9,0.0011 
" ","06","04702","CA","[not in a ZCTA]","Merced County (Northeast)--Merced & Atwater Cities",24,0.0028 
" ","06","05303","CA","[not in a ZCTA]","Monterey (South & East) & San Benito Counties",44,0.0051 
" ","06","05700","CA","[not in a ZCTA]","Nevada & Sierra Counties",64,0.0075 
" ","06","06103","CA","[not in a ZCTA]","Placer County (East/High Country Region)--Auburn & Colfax Cities",11,0.0013 
" ","06","06501","CA","[not in a ZCTA]","Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities",11,0.0013 
" ","06","06515","CA","[not in a ZCTA]","Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities",3,0.0004 
" ","06","07101","CA","[not in a ZCTA]","San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities",54,0.0063 
" ","06","07102","CA","[not in a ZCTA]","San Bernardino County (West Central)--Victorville & Adelanto Cities",2,0.0002 
" ","06","07104","CA","[not in a ZCTA]","San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",6,0.0007 
" ","06","07302","CA","[not in a ZCTA]","San Diego County (North & East)--Fallbrook, Alpine & Valley Center",89,0.0104 
" ","06","07328","CA","[not in a ZCTA]","San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley",46,0.0054 
" ","06","07508","CA","[not in a ZCTA]","San Francisco County (Northwest)--Richmond, Western Addition & Presidio",17,0.002 
" ","06","07513","CA","[not in a ZCTA]","San Francisco County (Southwest)--Ingleside & South Central",15,0.0018 
" ","06","07902","CA","[not in a ZCTA]","San Luis Obispo County (East)--Inland Region",10,0.0012 
" ","06","08102","CA","[not in a ZCTA]","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PU",30,0.0035 
" ","06","08302","CA","[not in a ZCTA]","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities",8,0.0009 
" ","06","08303","CA","[not in a ZCTA]","Santa Barbara County--South Coast Region",21,0.0025 
" ","06","08506","CA","[not in a ZCTA]","Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities",6,0.0007 
" ","06","08522","CA","[not in a ZCTA]","Santa Clara County (Northwest)--Mountain View & Los Altos Cities",36,0.0042 
" ","06","08900","CA","[not in a ZCTA]","Shasta County--Redding City",21,0.0025 
" ","06","10703","CA","[not in a ZCTA]","Tulare County (Outside Visalia, Tulare & Porterville Cities)",18,0.0021 
" ","06","11102","CA","[not in a ZCTA]","Ventura County (Southeast)--Thousand Oaks City",1,0.0001 
" ","06","11108","CA","[not in a ZCTA]","Ventura County (Southeast)--Simi Valley City",9,0.0011 
" ","12","00798","FL","[not in a ZCTA]","Bradford, Columbia, Dixie, Gilchrist, Levy, & Union Counties",14,0.0016 
" ","12","01398","FL","[not in a ZCTA]","Calhoun, Franklin, Gadsden, Gulf, Jackson, Jefferson, Liberty, & Wakulla Counties PUM",6,0.0007 
" ","12","02103","FL","[not in a ZCTA]","Collier County (East)",15,0.0018 
" ","12","03301","FL","[not in a ZCTA]","Escambia County (North)",2,0.0002 
" ","12","04798","FL","[not in a ZCTA]","Hamilton, Lafayette, Madison, Suwannee, & Taylor Counties",17,0.002 
" ","12","08625","FL","[not in a ZCTA]","Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties",25,0.0029 
" ","12","11300","FL","[not in a ZCTA]","Santa Rosa County",5,0.0006 
" ","13","04400","GA","[not in a ZCTA]","Southern Georgia Regional Commission (East & Central)",6,0.0007 
" ","13","04800","GA","[not in a ZCTA]","Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties",11,0.0013 
" ","15","00100","HI","[not in a ZCTA]","Maui, Kalawao & Kauai Counties",121,0.0141 
" ","15","00200","HI","[not in a ZCTA]","Hawaii County",32,0.0037 
" ","16","00100","ID","[not in a ZCTA]","Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties",5,0.0006 
" ","16","00300","ID","[not in a ZCTA]","Central Idaho--Lewiston City & Nez Perce Reservation",85,0.0099 
" ","16","00500","ID","[not in a ZCTA]","Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities",20,0.0023 
" ","16","00900","ID","[not in a ZCTA]","Twin Falls & Cassia Counties--Twin Falls City",19,0.0022 
" ","16","01000","ID","[not in a ZCTA]","Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties",13,0.0015 
