"LCA_OCC_CODE","SOC_TRUC_RAW","SOC_2018_CORRECT"
"11-1011","11-1011","11-1011"
"11-1011.00","11-1011","11-1011"
"11-1011.03","11-1011","11-1011"
"11-1021","11-1021","11-1021"
"11-1021.00","11-1021","11-1021"
"11-2011.00","11-2011","11-2011"
"11-2021","11-2021","11-2021"
"11-2021.00","11-2021","11-2021"
"11-2022","11-2022","11-2022"
"11-2022.00","11-2022","11-2022"
"11-2031.00","11-2031","11-2030"
"11-2032.00","11-2032","11-2030"
"11-2033.00","11-2033","11-2030"
"11-3011.00","11-3011","11-3010"
"11-3012.00","11-3012","11-3010"
"11-3013.00","11-3013","11-3010"
"11-3013.01","11-3013","11-3010"
"11-3021","11-3021","11-3021"
"11-3021.00","11-3021","11-3021"
"11-3031","11-3031","11-3031"
"11-3031.00","11-3031","11-3031"
"11-3031.01","11-3031","11-3031"
"11-3031.02","11-3031","11-3031"
"11-3031.03","11-3031","11-3031"
"11-3051","11-3051","11-3051"
"11-3051.00","11-3051","11-3051"
"11-3051.01","11-3051","11-3051"
"11-3051.04","11-3051","11-3051"
"11-3061","11-3061","11-3061"
"11-3061.00","11-3061","11-3061"
"11-3061.00.00","11-3061","11-3061"
"11-3071","11-3071","11-3071"
"11-3071.00","11-3071","11-3071"
"11-3071.01","11-3071","11-3071"
"11-3071.03","11-3071","11-3071"
"11-3071.04","11-3071","11-3071"
"11-3111.00","11-3111","11-3111"
"11-3121","11-3121","11-3121"
"11-3121.00","11-3121","11-3121"
"11-3131","11-3131","11-3131"
"11-3131.00","11-3131","11-3131"
"11-9013.00","11-9013","11-9013"
"11-9013.02","11-9013","11-9013"
"11-9013.03","11-9013","11-9013"
"11-9021","11-9021","11-9021"
"11-9021.00","11-9021","11-9021"
"11-9031.00","11-9031","11-9031"
"11-9032.00","11-9032","11-9032"
"11-9033","11-9033","11-9033"
"11-9033.00","11-9033","11-9033"
"11-9039.00","11-9039","11-9039"
"11-9039.01","11-9039","11-9039"
"11-9039.02","11-9039","11-9039"
"11-9041","11-9041","11-9041"
"11-9041.00","11-9041","11-9041"
"11-9041.01","11-9041","11-9041"
"11-9051.00","11-9051","11-9051"
"11-9072.00","11-9072","11-9072"
"11-9081","11-9081","11-9081"
"11-9081.00","11-9081","11-9081"
"11-9111.00","11-9111","11-9111"
"11-9121","11-9121","11-9121"
"11-9121.00","11-9121","11-9121"
"11-9121.01","11-9121","11-9121"
"11-9121.02","11-9121","11-9121"
"11-9141","11-9141","11-9141"
"11-9141.00","11-9141","11-9141"
"11-9151.00","11-9151","11-9151"
"11-9161.00","11-9161","11-9161"
"11-9179.01","11-9179","11-9179"
"11-9199","11-9199","11-9199"
"11-9199.00","11-9199","11-9199"
"11-9199.01","11-9199","11-9199"
"11-9199.02","11-9199","11-9199"
"11-9199.03","11-9199","11-9199"
"11-9199.04","11-9199","11-9199"
"11-9199.07","11-9199","11-9199"
"11-9199.09","11-9199","11-9199"
"11-9199.10","11-9199","11-9199"
"12-1229","15-1229","15-1221"
"12-1252","15-1252","15-1252"
"12-2051","15-2051","15-2051"
"13-1011.00","13-1011","13-1011"
"13-1021.00","13-1021","13-1020"
"13-1022","13-1022","13-1020"
"13-1022.00","13-1022","13-1020"
"13-1023","13-1023","13-1020"
"13-1023.00","13-1023","13-1020"
"13-1031.00","13-1031","13-1031"
"13-1031.02","13-1031","13-1031"
"13-1041","13-1041","13-1041"
"13-1041.00","13-1041","13-1041"
"13-1041.01","13-1041","13-1041"
"13-1041.03","13-1041","13-1041"
"13-1041.04","13-1041","13-1041"
"13-1041.07","13-1041","13-1041"
"13-1041.08","13-1041","13-1041"
"13-1051","13-1051","13-1051"
"13-1051.00","13-1051","13-1051"
"13-1071","13-1071","13-1071"
"13-1071.00","13-1071","13-1071"
"13-1075.00","13-1075","13-1075"
"13-1081","13-1081","13-1081"
"13-1081.00","13-1081","13-1081"
"13-1081.01","13-1081","13-1081"
"13-1081.02","13-1081","13-1081"
"13-1082","13-1082","13-1082"
"13-1082.00","13-1082","13-1082"
"13-1111","13-1111","13-1111"
"13-1111.00","13-1111","13-1111"
"13-1121","13-1121","13-1121"
"13-1121.00","13-1121","13-1121"
"13-1131.00","13-1131","13-1131"
"13-1141.00","13-1141","13-1141"
"13-1151","13-1151","13-1151"
"13-1151.00","13-1151","13-1151"
"13-1161","13-1161","13-1161"
"13-1161.00","13-1161","13-1161"
"13-1161.00.00","13-1161","13-1161"
"13-1161.01","13-1161","13-1161"
"13-1199","13-1199","13-1199"
"13-1199.00","13-1199","13-1199"
"13-1199.01","13-1199","13-1199"
"13-1199.02","13-1199","13-1199"
"13-1199.04","13-1199","13-1199"
"13-1199.05","13-1199","13-1199"
"13-1199.06","13-1199","13-1199"
"13-1199.07","13-1199","13-1199"
"13-2011","13-2011","13-2011"
"13-2011.00","13-2011","13-2011"
"13-2011.01","13-2011","13-2011"
"13-2011.02","13-2011","13-2011"
"13-2021.00","13-2021","13-2020"
"13-2021.02","13-2021","13-2020"
"13-2023.00","13-2023","13-2020"
"13-2031","13-2031","13-2031"
"13-2031.00","13-2031","13-2031"
"13-2041","13-2041","13-2041"
"13-2041.00","13-2041","13-2041"
"13-2051","13-2051","13-2051"
"13-2051.00","13-2051","13-2051"
"13-2051.00.00","13-2051","13-2051"
"13-2051.01","13-2051","13-2051"
"13-2052.00","13-2052","13-2052"
"13-2053.00","13-2053","13-2053"
"13-2054","13-2054","13-2054"
"13-2054.00","13-2054","13-2054"
"13-2061.00","13-2061","13-2061"
"13-2071.00","13-2071","13-2071"
"13-2071.01","13-2071","13-2071"
"13-2072.00","13-2072","13-2072"
"13-2081.00","13-2081","13-2081"
"13-2082.00","13-2082","13-2082"
"13-2099","13-2099","13-2099"
"13-2099.00","13-2099","13-2099"
"13-2099.01","13-2099","13-2099"
"13-2099.02","13-2099","13-2099"
"13-2099.03","13-2099","13-2099"
"13-2099.04","13-2099","13-2099"
"13-2099.1","13-2099","13-2099"
"15-1022.00","15-1022","15-1251"
"15-1034","15-1034","15-1252"
"15-1034.00","15-1034","15-1252"
"15-1035.00","15-1035","15-1252"
"15-1036.00","15-1036","15-1252"
"15-1037.00","15-1037","15-1252"
"15-1051.00","15-1051","13-1051"
"15-1052","15-1052","15-1211"
"15-1052.00","15-1052","15-1211"
"15-1053.00","15-1053","15-1211"
"15-1054.00","15-1054","15-1241"
"15-1055.00","15-1055","15-1241"
"15-1111","15-1111","15-1221"
"15-1111.00","15-1111","15-1221"
"15-1111.00.00","15-1111","15-1221"
"15-1121","15-1121","15-1211"
"15-1121.00","15-1121","15-1211"
"15-1121.01","15-1121","15-1211"
"15-1122","15-1122","15-1212"
"15-1122.00","15-1122","15-1212"
"15-1122.00.00","15-1122","15-1212"
"15-1124","15-1124","25-1124"
"15-1131","15-1131","15-1251"
"15-1131.00","15-1131","15-1251"
"15-1132","15-1132","15-1252"
"15-1132.00","15-1132","15-1252"
"15-1132.00.00","15-1132","15-1252"
"15-1133","15-1133","15-1252"
"15-1133.00","15-1133","15-1252"
"15-1133.00.00","15-1133","15-1252"
"15-1134.00","15-1134","15-1255"
"15-1141","15-1141","15-1242"
"15-1141.00","15-1141","15-1242"
"15-1142","15-1142","15-1244"
"15-1142.00","15-1142","15-1244"
"15-1143","15-1143","15-1241"
"15-1143.00","15-1143","15-1241"
"15-1143.00.00","15-1143","15-1241"
"15-1143.01","15-1143","15-1241"
"15-1151","15-1151","15-1232"
"15-1151.00","15-1151","15-1232"
"15-1152.00","15-1152","15-1231"
"15-1199","15-1199","15-1299"
"15-1199.00","15-1199","15-1299"
"15-1199.01","15-1199","15-1299"
"15-1199.02","15-1199","15-1299"
"15-1199.02.00","15-1199","15-1299"
"15-1199.03","15-1199","15-1299"
"15-1199.04","15-1199","15-1299"
"15-1199.05","15-1199","15-1299"
"15-1199.06","15-1199","15-1299"
"15-1199.07","15-1199","15-1299"
"15-1199.08","15-1199","15-1299"
"15-1199.08.00","15-1199","15-1299"
"15-1199.09","15-1199","15-1299"
"15-1199.10","15-1199","15-1299"
"15-1199.11","15-1199","15-1299"
"15-1199.12","15-1199","15-1299"
"15-1199.8","15-1199","15-1299"
"15-1211","15-1211","15-1211"
"15-1211.00","15-1211","15-1211"
"15-1211.01","15-1211","15-1211"
"15-1212","15-1212","15-1212"
"15-1212.00","15-1212","15-1212"
"15-1217","15-1217","15-1211"
"15-1217.00","15-1217","15-1211"
"15-1218","15-1218","15-1211"
"15-1218.00","15-1218","15-1211"
"15-1221","15-1221","15-1221"
"15-1221.00","15-1221","15-1221"
"15-1231","15-1231","15-1231"
"15-1231.00","15-1231","15-1231"
"15-1232.00","15-1232","15-1232"
"15-1241","15-1241","15-1241"
"15-1241.00","15-1241","15-1241"
"15-1241.01","15-1241","15-1241"
"15-1242","15-1242","15-1242"
"15-1242.00","15-1242","15-1242"
"15-1243","15-1243","15-1243"
"15-1243.00","15-1243","15-1243"
"15-1243.01","15-1243","15-1243"
"15-1244","15-1244","15-1244"
"15-1244.00","15-1244","15-1244"
"15-1247.00","15-1247","15-1241"
"15-1248.00","15-1248","15-1241"
"15-1251","15-1251","15-1251"
"15-1251.00","15-1251","15-1251"
"15-1252","15-1252","15-1252"
"15-1252.00","15-1252","15-1252"
"15-12520.00","15-1252","15-1252"
"15-1253","15-1253","15-1253"
"15-1253.00","15-1253","15-1253"
"15-1254","15-1254","15-1254"
"15-1254.00","15-1254","15-1254"
