age,0. observed FY2022-24 allocation,1. old unweighted lottery,"2a. weighted lottery, old wage levels","2b. weighted lottery, new wage levels","3. EIG wage ranking, RPP and NPV adjusted"
21,0.30966461633899867,0.38660804654774705,0.3687064660689832,0.2617104691635769,0.018304174914983963
22,0.35714078561887896,0.3581275485882208,0.35308932222469575,0.2468700297579337,0.10456457831254866
23,0.27657276822238724,0.27886608421732567,0.279983200878305,0.18950117657610566,0.06622428138159608
24,0.20703795191535185,0.2085025920403274,0.20679526599199036,0.13310381628942794,0.028391126225475075
25,0.13853171019154334,0.14028236551984555,0.1332537251103778,0.058080180973377776,-0.019024577548186664
26,0.10830301642006017,0.10878282768607887,0.09851504388456912,0.02359974932550722,-0.04161696038096771
27,0.08696388257281383,0.08711635297078389,0.07878270204016234,0.017323303048365418,-0.03400835713757536
28,0.06289552477753683,0.06275726539021835,0.05993691633243055,0.0119301662704946,-0.04692789892162387
29,0.0517324876618542,0.05124923895515038,0.05006015487478794,0.02234133833268133,-0.010028617171103118
30,0.03807876075972557,0.03745205098953833,0.04164607801018348,0.01982253387144318,0.011632907538224636
31,0.02743616174841359,0.02664937223002834,0.033907404479119004,0.023915596795540613,0.033810834261899625
32,0.019526928876272893,0.019038424902362152,0.027282808469870995,0.023898180575256184,0.06289205416969212
33,-0.003972972673802302,-0.004184792668962447,0.003871053071960463,0.011212780687286348,0.07080025100307619
34,-0.023829345651627483,-0.02406136396551408,-0.013529884060625778,-0.0015191946952702459,0.07075425623341342
35,-0.07576781121353142,-0.07608303540496249,-0.06782226695937392,-0.04782270791095797,0.09263471580148229
36,-0.10237058238652208,-0.10208687085505529,-0.09164097940895197,-0.06159317747370768,0.08676478316553503
37,-0.11867857363198835,-0.11754898243593433,-0.10518872340486626,-0.06203413932540374,0.09476392542588413
38,-0.12866132216405268,-0.12816150510016594,-0.11539436827010655,-0.07472760173666566,0.1755072059978996
39,-0.1498281668502382,-0.14892368970619257,-0.1352484902154368,-0.06951913967799826,0.1767873745975619
40,-0.16582176345425947,-0.16500365111353751,-0.15053734551777645,-0.09488016583619821,0.22573582845658027
41,-0.1784009506694785,-0.17845835431960916,-0.1622491436216282,-0.09157483126730051,0.20008355693020025
42,-0.1592205974053339,-0.15860595986711998,-0.13843056923883004,-0.06319109334591874,0.2558808087515136
43,-0.17680613278314414,-0.17604648365314657,-0.15142736594039455,-0.06859799011389969,0.36189675498223756
44,-0.16955943456696876,-0.16846455173618619,-0.14400863991785845,-0.08334656532456973,0.36790858174113594
45,-0.18317499929923975,-0.18233346001409725,-0.15750784993967215,-0.09744817874036926,0.32798340007617033
46,-0.18078232015787354,-0.17919089264912125,-0.1486214528722063,-0.1033090405799582,0.4450884628749456
47,-0.16229115856439397,-0.16098954311215471,-0.12278011847905514,-0.03075615708046953,0.5776235661743064
48,-0.1702188873444176,-0.16887627409104378,-0.13720339001647514,-0.0861668014292217,0.3776345809855878
49,-0.14703639536980406,-0.1475301517334267,-0.10949908381696395,-0.037309040745171385,0.7624543293504231
50,-0.11625799902446678,-0.11580974851371237,-0.08585029526664863,-0.03810510281376317,0.6056209929845594
