age,alloc_method,coef_borjas,se_borjas,mean_resid_borjas,sum_weight_borjas,coef_tenure,se_tenure,mean_resid_tenure,sum_weight_tenure
21,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.30966461633899867,8,-0.1307850469816889,0.002927362248296427,0.34566461633899864,8
22,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.35714078561887896,115,-0.1307850469816889,0.002927362248296427,0.39314078561887894,115
23,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.27657276822238724,1153,-0.1307850469816889,0.002927362248296427,0.3125727682223872,1153
24,0. observed FY2022-24 allocation,-0.16678504698168892,0.0029273622482964274,0.20703795191535185,3706,-0.1307850469816889,0.0029273622482964274,0.24303795191535185,3706
25,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.13853171019154334,9085,-0.1307850469816889,0.002927362248296427,0.17453171019154334,9085
26,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.10830301642006017,16684,-0.1307850469816889,0.002927362248296427,0.14430301642006016,16684
27,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.08696388257281383,21239,-0.1307850469816889,0.002927362248296427,0.12296388257281382,21239
28,0. observed FY2022-24 allocation,-0.16678504698168892,0.0029273622482964274,0.06289552477753683,22737,-0.1307850469816889,0.0029273622482964274,0.09889552477753681,22737
29,0. observed FY2022-24 allocation,-0.16678504698168892,0.0029273622482964274,0.0517324876618542,22301,-0.1307850469816889,0.0029273622482964274,0.0877324876618542,22301
30,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.03807876075972557,20458,-0.1307850469816889,0.002927362248296427,0.07407876075972557,20458
31,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.02743616174841359,17983,-0.1307850469816889,0.002927362248296427,0.06343616174841359,17983
32,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,0.019526928876272893,16002,-0.1307850469816889,0.002927362248296427,0.05552692887627289,16002
33,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.003972972673802302,14503,-0.1307850469816889,0.002927362248296427,0.03202702732619769,14503
34,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.023829345651627483,12687,-0.1307850469816889,0.002927362248296427,0.012170654348372514,12687
35,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.07576781121353142,11220,-0.1307850469816889,0.002927362248296427,-0.03976781121353142,11220
36,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.10237058238652208,9543,-0.1307850469816889,0.002927362248296427,-0.06637058238652208,9543
37,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.11867857363198835,8535,-0.1307850469816889,0.002927362248296427,-0.08267857363198836,8535
38,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.12866132216405268,7563,-0.1307850469816889,0.002927362248296427,-0.09266132216405268,7563
39,0. observed FY2022-24 allocation,-0.16678504698168894,0.002927362248296427,-0.1498281668502382,6752,-0.1307850469816889,0.002927362248296427,-0.1138281668502382,6752
40,0. observed FY2022-24 allocation,-0.16678504698168892,0.0029273622482964274,-0.16582176345425947,6152,-0.1307850469816889,0.0029273622482964274,-0.12982176345425947,6152
41,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.1784009506694785,5122,-0.1307850469816889,0.002927362248296427,-0.1424009506694785,5122
42,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.1592205974053339,4168,-0.1307850469816889,0.002927362248296427,-0.12322059740533389,4168
43,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.17680613278314414,3463,-0.1307850469816889,0.002927362248296427,-0.14080613278314413,3463
44,0. observed FY2022-24 allocation,-0.16678504698168892,0.0029273622482964274,-0.16955943456696876,2853,-0.1307850469816889,0.0029273622482964274,-0.13355943456696875,2853
45,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.18317499929923975,2283,-0.1307850469816889,0.002927362248296427,-0.14717499929923974,2283
46,0. observed FY2022-24 allocation,-0.16678504698168894,0.002927362248296427,-0.18078232015787354,1718,-0.1307850469816889,0.002927362248296427,-0.14478232015787354,1718
47,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.16229115856439397,1375,-0.1307850469816889,0.002927362248296427,-0.12629115856439396,1375
48,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.1702188873444176,1080,-0.1307850469816889,0.002927362248296427,-0.1342188873444176,1080
49,0. observed FY2022-24 allocation,-0.16678504698168894,0.002927362248296427,-0.14703639536980406,830,-0.1307850469816889,0.002927362248296427,-0.11103639536980406,830
50,0. observed FY2022-24 allocation,-0.16678504698168892,0.002927362248296427,-0.11625799902446678,644,-0.1307850469816889,0.002927362248296427,-0.08025799902446679,644
21,1. old unweighted lottery,-0.166819522509031,0.002928288681164122,0.38660804654774705,7,-0.1308195225090311,0.002928288681164122,0.42260804654774703,7
22,1. old unweighted lottery,-0.16680385275213605,0.0029283316143761304,0.3581275485882208,115,-0.13080385275213607,0.0029283316143761304,0.39412754858822074,115
23,1. old unweighted lottery,-0.16681890847463318,0.0029283167835656375,0.27886608421732567,1168,-0.1308189084746332,0.0029283167835656375,0.3148660842173258,1168
24,1. old unweighted lottery,-0.1668195904127185,0.0029283038445309475,0.2085025920403274,3744,-0.13081959041271848,0.0029283038445309475,0.24450259204032743,3744
25,1. old unweighted lottery,-0.16682025286352298,0.0029283132972618754,0.14028236551984555,9176,-0.130820252863523,0.0029283132972618754,0.17628236551984552,9176
26,1. old unweighted lottery,-0.16681889963183094,0.0029283110493803157,0.10878282768607887,16822,-0.13081889963183096,0.0029283110493803157,0.14478282768607884,16822
27,1. old unweighted lottery,-0.16681903183734345,0.0029283125476020134,0.08711635297078389,21458,-0.13081903183734347,0.0029283125476020134,0.12311635297078383,21458
28,1. old unweighted lottery,-0.1668192158502132,0.002928309770930389,0.06275726539021835,23001,-0.13081921585021317,0.002928309770930389,0.0987572653902184,23001
29,1. old unweighted lottery,-0.16681941289040517,0.002928316395044891,0.05124923895515038,22591,-0.13081941289040516,0.002928316395044891,0.08724923895515038,22591
