construction,value_pct,distance_from_claim
"pooled >90% coverage years, share of all receipts",86.13314298216481,0.003142982164817454
"single year 2024, share of reported",86.87410466603744,0.744104666037444
"single year 2023, share of all receipts",85.36652241504632,0.7634775849536766
"single year 2024, share of all receipts",84.86690146613154,1.2630985338684582
"single year 2025, share of all receipts",87.96674592644167,1.8367459264416794
"pooled >90% coverage years, share of reported",88.13637805877815,2.0063780587781537
"unweighted mean of yearly shares of reported, >90% coverage",88.1412826616441,2.0112826616441026
"single year 2023, share of reported",88.7673421521214,2.6373421521214055
"single year 2025, share of reported",88.78240116677347,2.6524011667734726
"single year 2022, share of reported",88.97190172960931,2.8419017296093187
"single year 2021, share of reported",90.99958019399456,4.869580193994565
"single year 2022, share of all receipts",71.40833073296619,14.721669267033803
"single year 2021, share of all receipts",20.68162930192502,65.44837069807497
