column_int,panel,term,estimate_num,std_error_num,n_obs_int,borjas_reported_num,difference_num
1,A. Baseline (OLS),H-1B,0.04751731495476408,0.001150806281561783,911631,0.044,0.003517314954764081
2,A. Baseline (OLS),H-1B,-0.06379846865246327,0.001701369438676804,911631,-0.062,-0.0017984686524632754
3,A. Baseline (OLS),H-1B,-0.02455761747156887,0.0016885854177506338,911631,-0.023,-0.0015576174715688715
4,A. Baseline (OLS),H-1B,-0.12844731451347627,0.0022756263163239317,911628,-0.136,0.007552685486523741
5,A. Baseline (OLS),H-1B,-0.1578929752961238,0.0024774360702699188,911628,-0.161,0.0031070247038761933
1,B. Location of beneficiary (OLS),Abroad,0.0321058671511154,0.0012923248581222415,911631,0.021,0.0111058671511154
2,B. Location of beneficiary (OLS),Abroad,-0.06091946637554356,0.001831372099449452,911631,-0.065,0.004080533624456442
3,B. Location of beneficiary (OLS),Abroad,-0.08311669835433187,0.0018271425679075022,911631,-0.087,0.003883301645668122
4,B. Location of beneficiary (OLS),Abroad,-0.16778963970221178,0.0026898118967699056,911628,-0.181,0.013210360297788215
5,B. Location of beneficiary (OLS),Abroad,-0.20709872899786896,0.0030210346066204038,911628,-0.219,0.011901271002131036
1,B. Location of beneficiary (OLS),USA,0.05879986710874147,0.0012571871691861582,911631,0.061,-0.002200132891258526
2,B. Location of beneficiary (OLS),USA,-0.06626877578688305,0.0018379534857376337,911631,-0.059,-0.00726877578688305
3,B. Location of beneficiary (OLS),USA,0.019279408654613705,0.0019939509516617346,911631,0.025,-0.0057205913453862965
4,B. Location of beneficiary (OLS),USA,-0.09920535437947041,0.002412438064673828,911628,-0.102,0.0027946456205295844
5,B. Location of beneficiary (OLS),USA,-0.12153753844827571,0.0025700169006756183,911628,-0.118,-0.003537538448275715
