scenario,registrations_int,mu_pi_num,revenue_maximising_fee_1000s,hiring_rate_pct,visas_demanded_1000s,total_revenue_billions,fee_borjas,hiring_borjas,visas_borjas,revenue_borjas,fee_difference_1000s
baseline,170000,0.1,117,39.26778487565,66.75523428860501,7.810362411766786,117,39,66.3,7.8,0
baseline,170000,0,141,41.824315898449456,71.10133702736408,10.025288520858336,140,41.8,71.1,10,1
baseline,170000,-0.1,165,45.39963177337003,77.17937401472905,12.734596712430294,164,45.3,77.1,12.6,1
baseline,255000,0.1,136,33.28544034258019,84.87787287357948,11.543390710806808,135,33.3,84.9,11.5,1
baseline,255000,0,172,33.16840191995481,84.57942489588476,14.547661082092178,170,33.4,85,14.5,2
baseline,255000,-0.1,212,33.179539893179,84.60782672760644,17.93685926625257,210,33.3,84.9,17.8,2
baseline,340000,0.1,167,24.95396873014752,84.84349368250156,14.16886344497776,166,24.9,84.8,14.1,1
baseline,340000,0,206,24.950107056304546,84.83036399143546,17.4750549822357,204,25.1,85,17.3,2
baseline,340000,-0.1,248,24.978074045316564,84.92545175407632,21.061512035010924,246,25.1,85,20.9,2
growth_and_separations,170000,0.1,96,33.064195548340045,56.20913243217808,5.396076713489096,95,33.2,56.4,5.4,1
growth_and_separations,170000,0,116,34.89632302769346,59.32374914707888,6.8815549010611505,115,35,59.4,6.8,1
growth_and_separations,170000,-0.1,137,37.42991635490929,63.63085780334579,8.717427519058372,136,37.5,63.7,8.7,1
growth_and_separations,255000,0.1,96,33.064195548340045,84.31369864826712,8.094115070233643,95,33.2,84.7,8,1
growth_and_separations,255000,0,122,33.127791110797396,84.47586733253335,10.306055814569069,121,33.2,84.6,10.2,1
growth_and_separations,255000,-0.1,153,33.251902896402434,84.7923523858262,12.97322991503141,152,33.2,84.8,12.9,1
growth_and_separations,340000,0.1,123,24.889070257170413,84.62283887437941,10.408609181548666,122,24.9,84.8,10.3,1
growth_and_separations,340000,0,154,24.901552316416076,84.66527787581467,13.038452792875457,153,24.9,84.7,13,1
growth_and_separations,340000,-0.1,190,24.870185407402175,84.5586303851674,16.066139773181806,188,25,85,16,2
