specification_chr,age_int,estimate,std.error,statistic,n_h1b_int,h1b_share_pct,mean_resid_num,n_obs_int
Borjas Table 2 col. 5,21,0.13820205625655618,0.09104406209441133,1.517968916119348,8,0.0031330283852371702,0.30156581046190234,8
Borjas Table 2 col. 5,22,0.1928141472525352,0.02387063815800602,8.077460936580234,116,0.045428911585938966,0.355574482773354,116
Borjas Table 2 col. 5,23,0.11579591052670123,0.009594309657951104,12.069227975223578,1166,0.4566388871483176,0.2781101135404191,1166
Borjas Table 2 col. 5,24,0.04481851351751775,0.0064289947051626275,6.971309757266945,3770,1.4764396265430164,0.20717841739878928,3770
Borjas Table 2 col. 5,25,-0.023965255692143205,0.00542886096867976,-4.4144169155194435,9237,3.6174728993044676,0.13824321210135485,9237
Borjas Table 2 col. 5,26,-0.05314519597541655,0.005150487328062373,-10.318479124461785,16994,6.655335547340059,0.10884232277673815,16994
Borjas Table 2 col. 5,27,-0.07411468473701076,0.004959914640049315,-14.94273392097608,21598,8.45839338304405,0.08801931505660886,21598
Borjas Table 2 col. 5,28,-0.0995984408461407,0.004995485947709996,-19.937688122573558,23091,9.043094805438937,0.06292063609235318,23091
Borjas Table 2 col. 5,29,-0.11162486789676031,0.0049810224972420955,-22.410030863856775,22615,8.856679616517326,0.05128921148377998,22615
Borjas Table 2 col. 5,30,-0.1250673487502109,0.005126982464959712,-24.39394899533632,20727,8.117284917601353,0.03825082433969925,20727
Borjas Table 2 col. 5,31,-0.13660470761390747,0.005266935813326964,-25.936277269272132,18247,7.14604611817783,0.027108991767400167,18247
Borjas Table 2 col. 5,32,-0.1451126102584634,0.005370379712732324,-27.020921800822435,16187,6.339291308979259,0.018893994436164747,16187
Borjas Table 2 col. 5,33,-0.1681264473785933,0.005547441623945694,-30.30702417000128,14708,5.760072686258537,-0.0036552999879847312,14708
Borjas Table 2 col. 5,34,-0.1898032638612406,0.005699542742065265,-33.301489689761354,12829,5.024202644275957,-0.025048612710463082,12829
Borjas Table 2 col. 5,35,-0.24131003918403554,0.005860681192308907,-41.17440127961775,11349,4.44459239300708,-0.07607566783257273,11349
Borjas Table 2 col. 5,36,-0.26607792985865597,0.006389045428528266,-41.64595992236476,9639,3.7749075756626356,-0.10062997619168128,9639
Borjas Table 2 col. 5,37,-0.28533905184715636,0.006262770095044199,-45.561157046615584,8626,3.3781878563819787,-0.11971638512012216,8626
Borjas Table 2 col. 5,38,-0.2953045646637584,0.006781925332738851,-43.542880550190446,7636,2.990475593708879,-0.12956673426347937,7636
Borjas Table 2 col. 5,39,-0.31611129316981024,0.006736211966367774,-46.92715947005158,6815,2.6689485556739143,-0.15026808713413461,6815
Borjas Table 2 col. 5,40,-0.3337839697659267,0.0070991785344415555,-47.017266595927815,6214,2.433579798232972,-0.16784339448447563,6214
Borjas Table 2 col. 5,41,-0.3463336942193046,0.007308085776792184,-47.39048018827778,5177,2.0274609937966037,-0.18045892226549487,5177
Borjas Table 2 col. 5,42,-0.3272251131914866,0.00779610234999896,-41.972911398672224,4212,1.6495394448273701,-0.16147555869953953,4212
Borjas Table 2 col. 5,43,-0.3444989209538471,0.008229996147740818,-41.85894072968844,3498,1.3699166614449527,-0.17871827767185128,3498
Borjas Table 2 col. 5,44,-0.336272951854078,0.008881035903473866,-37.86415858566038,2875,1.125932075944608,-0.17055678665058996,2875
Borjas Table 2 col. 5,45,-0.34920169954041064,0.009155034904782547,-38.143131421376594,2309,0.9042703176890783,-0.1837357272582749,2309
Borjas Table 2 col. 5,46,-0.34791297105418534,0.010503726165194295,-33.12281428347287,1732,0.6783006454038474,-0.18239374996192353,1732
Borjas Table 2 col. 5,47,-0.32763207070877043,0.011809620797744017,-27.742810401783412,1389,0.5439720533868037,-0.1621802816855935,1389
Borjas Table 2 col. 5,48,-0.33616832169539074,0.012298654335301779,-27.333748272805813,1091,0.4272667460367191,-0.1709052383130935,1091
Borjas Table 2 col. 5,49,-0.31533013125141723,0.014422474119323353,-21.863802884481192,837,0.32779309480543894,-0.15012047163742803,837
Borjas Table 2 col. 5,50,-0.2843661673271046,0.015633249950310773,-18.189830536257222,652,0.2553418133968294,-0.1193448229154487,652
PW state x broad occupation and sector,21,0.35946647243982316,0.028792955526677412,12.484528450258198,8,0.0031330283852371702,0.30156581046190234,8
PW state x broad occupation and sector,22,0.28583213249759193,0.03449813903718795,8.285436272068866,116,0.045428911585938966,0.355574482773354,116
PW state x broad occupation and sector,23,0.22113821439231013,0.03227254652477776,6.85220840018087,1166,0.4566388871483176,0.2781101135404191,1166
PW state x broad occupation and sector,24,0.14628149082301706,0.03853646652218273,3.7959238099531802,3770,1.4764396265430164,0.20717841739878928,3770
PW state x broad occupation and sector,25,0.07677410667981166,0.02664483890750899,2.8813875342355835,9237,3.6174728993044676,0.13824321210135485,9237
PW state x broad occupation and sector,26,0.03466951434876561,0.0234953462942462,1.4755906941987003,16994,6.655335547340059,0.10884232277673815,16994
PW state x broad occupation and sector,27,9.18711873898289e-4,0.023617261013647733,0.03890001780339354,21598,8.45839338304405,0.08801931505660886,21598
PW state x broad occupation and sector,28,-0.026826720720692105,0.018803007212928644,-1.4267250135524325,23091,9.043094805438937,0.06292063609235318,23091
PW state x broad occupation and sector,29,-0.047977926380053666,0.012268454894772443,-3.910673902424089,22615,8.856679616517326,0.05128921148377998,22615
PW state x broad occupation and sector,30,-0.06537662015845551,0.010015102280279317,-6.527803543972611,20727,8.117284917601353,0.03825082433969925,20727
PW state x broad occupation and sector,31,-0.085010203315761,0.010724207439549872,-7.926945072159956,18247,7.14604611817783,0.027108991767400167,18247
PW state x broad occupation and sector,32,-0.09019493157084134,0.011906588742532991,-7.575211802574899,16187,6.339291308979259,0.018893994436164747,16187
PW state x broad occupation and sector,33,-0.1168576607931898,0.016073760584336527,-7.2700884264174395,14708,5.760072686258537,-0.0036552999879847312,14708
PW state x broad occupation and sector,34,-0.1383539955602763,0.012250491303801282,-11.293750767150504,12829,5.024202644275957,-0.025048612710463082,12829
PW state x broad occupation and sector,35,-0.19402972529025636,0.01876789944240232,-10.338382613660267,11349,4.44459239300708,-0.07607566783257273,11349
PW state x broad occupation and sector,36,-0.2168065286208664,0.014654909299871425,-14.794122855660973,9639,3.7749075756626356,-0.10062997619168128,9639
PW state x broad occupation and sector,37,-0.2300157236717885,0.019369121650782934,-11.875382261461032,8626,3.3781878563819787,-0.11971638512012216,8626
PW state x broad occupation and sector,38,-0.24924404251939314,0.019134376966241335,-13.025981612002987,7636,2.990475593708879,-0.12956673426347937,7636
PW state x broad occupation and sector,39,-0.26646171315231904,0.01695173499877731,-15.718846075138522,6815,2.6689485556739143,-0.15026808713413461,6815
PW state x broad occupation and sector,40,-0.2756633349575211,0.023924617181370903,-11.522162836200723,6214,2.433579798232972,-0.16784339448447563,6214
PW state x broad occupation and sector,41,-0.2880512421764376,0.02627722215636591,-10.962012668704194,5177,2.0274609937966037,-0.18045892226549487,5177
PW state x broad occupation and sector,42,-0.2744051240832887,0.021496852632843608,-12.764897669905567,4212,1.6495394448273701,-0.16147555869953953,4212
PW state x broad occupation and sector,43,-0.29652177503806787,0.027193507547428834,-10.904138589731291,3498,1.3699166614449527,-0.17871827767185128,3498
PW state x broad occupation and sector,44,-0.29179792572334173,0.026050258889020062,-11.201344561160266,2875,1.125932075944608,-0.17055678665058996,2875
