alloc_method,scenario_variant,mu_pi_num,eligible_Abroad,eligible_In US,eligible_abroad_share_num,eligible_in_us_share_num,pool_abroad_num,pool_in_us_num,eligible_total_num,weight_scheme,rate_in_us_num,survive_abroad_num,survive_in_us_num,survive_total_num,in_us_lost_num,visas_filled_num,shortfall_num,fee_revenue_billions
1. old unweighted lottery,compliance,-0.1,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.4341733011754031,14640.102041716658,85514.72909571842,100154.83113743507,111445.16886256493,85000,0,8.777525
1. old unweighted lottery,compliance,0,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.3491692550665172,14640.102041716658,68772.340848071035,83412.4428897877,128187.5571102123,83412.4428897877,1587.5571102123067,8.613585915013925
1. old unweighted lottery,compliance,0.1,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.2703733803788924,14640.102041716658,53252.71341006278,67892.81545177943,143707.18454822057,67892.81545177943,17107.184548220568,7.0109515876280035
1. old unweighted lottery,exclusion,-0.1,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.4341733011754031,14640.102041716658,85514.72909571842,100154.83113743507,111445.16886256493,85000,0,8.777525
1. old unweighted lottery,exclusion,0,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.3491692550665172,14640.102041716658,68772.340848071035,83412.4428897877,128187.5571102123,83412.4428897877,1587.5571102123067,8.613585915013925
1. old unweighted lottery,exclusion,0.1,1,1,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.2703733803788924,14640.102041716658,53252.71341006278,67892.81545177943,143707.18454822057,67892.81545177943,17107.184548220568,7.0109515876280035
"2a. weighted lottery, old wage levels",compliance,-0.1,0.9695315774765964,0.9709203346671517,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.38981652184252663,14640.102041716658,76778.22236455698,91418.32440627363,120181.67559372635,85000,0,8.777525
"2a. weighted lottery, old wage levels",compliance,0,0.9695315774765964,0.9709203346671517,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.31019011675379826,14640.102041716658,61095.0137434961,75735.11578521275,135864.88421478725,75735.11578521275,9264.88421478725,7.820786731559995
"2a. weighted lottery, old wage levels",compliance,0.1,0.9695315774765964,0.9709203346671517,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.23906129816888977,14640.102041716658,47085.488893119276,61725.590934835935,149874.40906516407,61725.590934835935,23274.409065164065,6.374093147885833
"2a. weighted lottery, old wage levels",exclusion,-0.1,0.9695315774765964,0.9709203346671517,0.9695315774765964,0.9709203346671517,14194.041226923891,191232.37004166452,205426.41126858842,lottery winners,0.38981652184252663,14194.041226923891,74545.53735334465,88739.57858026854,116686.83268831986,85000,0,8.777525
"2a. weighted lottery, old wage levels",exclusion,0,0.9695315774765964,0.9709203346671517,0.9695315774765964,0.9709203346671517,14194.041226923891,191232.37004166452,205426.41126858842,lottery winners,0.31019011675379826,14194.041226923891,59318.39119032947,73512.43241725337,131913.97885133504,73512.43241725337,11487.567582746633,7.591261333567669
"2a. weighted lottery, old wage levels",exclusion,0.1,0.9695315774765964,0.9709203346671517,0.9695315774765964,0.9709203346671517,14194.041226923891,191232.37004166452,205426.41126858842,lottery winners,0.23906129816888977,14194.041226923891,45716.25863407383,59910.29986099772,145516.11140759068,59910.29986099772,25089.700139002278,6.186637115145929
"2b. weighted lottery, new wage levels",compliance,-0.1,0.17537026687159424,0.2706656966169516,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.2863500843720389,14640.102041716658,56399.48339826261,71039.58543997927,140560.41456002073,71039.58543997927,13960.414560020727,7.33590279045946
"2b. weighted lottery, new wage levels",compliance,0,0.17537026687159424,0.2706656966169516,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.22014356985626898,14640.102041716658,43359.45505506296,57999.557096779616,153600.44290322036,57999.557096779616,27000.442903220384,5.989324263598947
"2b. weighted lottery, new wage levels",compliance,0.1,0.17537026687159424,0.2706656966169516,1,1,14640.102041716658,196959.89795828334,211600,lottery winners,0.16562123582293098,14640.102041716658,32620.741707409266,47260.843749125925,164339.15625087408,47260.843749125925,37739.156250874075,4.880391029753489
"2b. weighted lottery, new wage levels",exclusion,-0.1,0.17537026687159424,0.2706656966169516,0.17537026687159424,0.2706656966169516,2567.438602083222,53310.287986482464,55877.72658856569,eligible applicants,0.3062352498454426,2567.438602083222,16325.489360872954,18892.927962956175,36984.79862560951,18892.927962956175,66107.07203704382,1.9509782060946694
