alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,eligible applicants,-0.1,0,1
1. old unweighted lottery,eligible applicants,-0.1,5000,0.9630709169311135
1. old unweighted lottery,eligible applicants,-0.1,10000,0.9282126831055176
1. old unweighted lottery,eligible applicants,-0.1,15000,0.8948884146317185
1. old unweighted lottery,eligible applicants,-0.1,20000,0.8628570234080424
1. old unweighted lottery,eligible applicants,-0.1,25000,0.8319395348652017
1. old unweighted lottery,eligible applicants,-0.1,30000,0.8019623894598111
1. old unweighted lottery,eligible applicants,-0.1,35000,0.7729605857783901
1. old unweighted lottery,eligible applicants,-0.1,40000,0.7449678482837154
1. old unweighted lottery,eligible applicants,-0.1,45000,0.7180009396662593
1. old unweighted lottery,eligible applicants,-0.1,50000,0.6921832110307266
1. old unweighted lottery,eligible applicants,-0.1,55000,0.6675215506085931
1. old unweighted lottery,eligible applicants,-0.1,60000,0.6440752449701974
1. old unweighted lottery,eligible applicants,-0.1,65000,0.621809773325423
1. old unweighted lottery,eligible applicants,-0.1,70000,0.600574032561825
1. old unweighted lottery,eligible applicants,-0.1,75000,0.5802933271750683
1. old unweighted lottery,eligible applicants,-0.1,80000,0.5609613263628146
1. old unweighted lottery,eligible applicants,-0.1,85000,0.5423543019593633
1. old unweighted lottery,eligible applicants,-0.1,90000,0.5243812337499453
1. old unweighted lottery,eligible applicants,-0.1,95000,0.5069758673000121
1. old unweighted lottery,eligible applicants,-0.1,100000,0.49010917647808294
1. old unweighted lottery,eligible applicants,-0.1,105000,0.47363519448304425
1. old unweighted lottery,eligible applicants,-0.1,110000,0.4576513917811056
1. old unweighted lottery,eligible applicants,-0.1,115000,0.4420832719497678
1. old unweighted lottery,eligible applicants,-0.1,120000,0.4269286450888503
1. old unweighted lottery,eligible applicants,-0.1,125000,0.4122053091143644
1. old unweighted lottery,eligible applicants,-0.1,130000,0.39785632662162107
1. old unweighted lottery,eligible applicants,-0.1,135000,0.3838674035348971
1. old unweighted lottery,eligible applicants,-0.1,140000,0.37026430104358693
1. old unweighted lottery,eligible applicants,-0.1,145000,0.3570517971117207
1. old unweighted lottery,eligible applicants,-0.1,150000,0.3441372788698523
1. old unweighted lottery,eligible applicants,-0.1,155000,0.3315886730399399
1. old unweighted lottery,eligible applicants,-0.1,160000,0.3193496792791645
1. old unweighted lottery,eligible applicants,-0.1,165000,0.3074322823139681
1. old unweighted lottery,eligible applicants,-0.1,170000,0.2958660258886017
1. old unweighted lottery,eligible applicants,-0.1,175000,0.28455204596401407
1. old unweighted lottery,eligible applicants,-0.1,180000,0.2735356933821216
1. old unweighted lottery,eligible applicants,-0.1,185000,0.2628453970289027
1. old unweighted lottery,eligible applicants,-0.1,190000,0.25240335572340356
1. old unweighted lottery,eligible applicants,-0.1,195000,0.2422125955095101
1. old unweighted lottery,eligible applicants,-0.1,200000,0.2323084733210434
1. old unweighted lottery,eligible applicants,-0.1,205000,0.22266781603245814
1. old unweighted lottery,eligible applicants,-0.1,210000,0.213279275979184
1. old unweighted lottery,eligible applicants,-0.1,215000,0.20415121459827273
1. old unweighted lottery,eligible applicants,-0.1,220000,0.19527821686382396
1. old unweighted lottery,eligible applicants,-0.1,225000,0.18665809287565746
1. old unweighted lottery,eligible applicants,-0.1,230000,0.17830047819456674
1. old unweighted lottery,eligible applicants,-0.1,235000,0.17014676312845153
1. old unweighted lottery,eligible applicants,-0.1,240000,0.16226730319765242
1. old unweighted lottery,eligible applicants,-0.1,245000,0.1546104963906463
1. old unweighted lottery,eligible applicants,-0.1,250000,0.14722157410024964
1. old unweighted lottery,eligible applicants,-0.1,255000,0.1400382237122392
1. old unweighted lottery,eligible applicants,-0.1,260000,0.13310802578507921
1. old unweighted lottery,eligible applicants,-0.1,265000,0.12640474133297236
1. old unweighted lottery,eligible applicants,-0.1,270000,0.11995500750538522
1. old unweighted lottery,eligible applicants,-0.1,275000,0.1137176143625598
1. old unweighted lottery,eligible applicants,-0.1,280000,0.10773086524946945
1. old unweighted lottery,eligible applicants,-0.1,285000,0.10194021174343931
1. old unweighted lottery,eligible applicants,-0.1,290000,0.09639008890994734
1. old unweighted lottery,eligible applicants,-0.1,295000,0.09105063447380682
1. old unweighted lottery,eligible applicants,-0.1,300000,0.08590691729742429
1. old unweighted lottery,eligible applicants,0,0,1
