alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num,visas_demanded_num,revenue_num,revenue_maximising_fee_1000s,total_revenue_billions
1. old unweighted lottery,eligible applicants,-0.1,138000,0.37566351984646806,63862.79837389957,8813066175.59814,138,8.813066175598141
1. old unweighted lottery,eligible applicants,0,117000,0.3501937862577792,59532.943663822465,6965354408.667229,117,6.9653544086672285
1. old unweighted lottery,eligible applicants,0.1,97000,0.3309970018275712,56269.490310687106,5458140560.136649,97,5.458140560136649
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,138000,0.37102672654984525,63074.54351347369,8704287004.85937,138,8.704287004859369
"2a. weighted lottery, old wage levels",eligible applicants,0,116000,0.3485446424188876,59252.58921121089,6873300348.5004635,116,6.873300348500464
"2a. weighted lottery, old wage levels",eligible applicants,0.1,96000,0.33028501775225394,56148.45301788317,5390251489.7167845,96,5.390251489716785
"2b. weighted lottery, new wage levels",eligible applicants,-0.1,96000,0.3216678013441564,54683.52622850659,5249618517.936633,96,5.249618517936633
"2b. weighted lottery, new wage levels",eligible applicants,0,80000,0.3068611329318323,52166.39259841149,4173311407.872919,80,4.173311407872919
"2b. weighted lottery, new wage levels",eligible applicants,0.1,65000,0.3037692240551628,51640.76808937768,3356649925.809549,65,3.356649925809549
"3. EIG wage ranking, RPP and NPV adjusted",eligible applicants,-0.1,111000,0.32441744656633353,55150.9659162767,6121757216.706714,111,6.121757216706714
"3. EIG wage ranking, RPP and NPV adjusted",eligible applicants,0,92000,0.3092026052864551,52564.442898697365,4835928746.680158,92,4.835928746680158
"3. EIG wage ranking, RPP and NPV adjusted",eligible applicants,0.1,76000,0.29891441128114343,50815.44991779439,3861974193.752373,76,3.8619741937523733
1. old unweighted lottery,lottery winners,-0.1,139000,0.37367892823529403,63525.41779999999,8830033074.199999,139,8.8300330742
1. old unweighted lottery,lottery winners,0,117000,0.3507646360784315,59629.988133333354,6976708611.600002,117,6.976708611600002
1. old unweighted lottery,lottery winners,0.1,97000,0.3315760635294117,56367.930799999995,5467689287.599999,97,5.4676892876
"2a. weighted lottery, old wage levels",lottery winners,-0.1,131000,0.34948364039215674,59412.21886666665,7783000671.533331,131,7.783000671533331
"2a. weighted lottery, old wage levels",lottery winners,0,110000,0.32879127450980383,55894.51666666665,6148396833.333331,110,6.148396833333331
"2a. weighted lottery, old wage levels",lottery winners,0.1,91000,0.31308373294117653,53224.23460000001,4843405348.600001,91,4.843405348600001
"2b. weighted lottery, new wage levels",lottery winners,-0.1,92000,0.31327260330021534,53256.34256103661,4899583515.615368,92,4.899583515615368
"2b. weighted lottery, new wage levels",lottery winners,0,75000,0.306213550356618,52056.30356062506,3904222767.04688,75,3.9042227670468796
"2b. weighted lottery, new wage levels",lottery winners,0.1,62000,0.29968393242897395,50946.26851292557,3158668647.8013854,62,3.1586686478013855
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,-0.1,104000,0.30936641019607825,52592.2897333333,5469598132.266664,104,5.469598132266664
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,0,85000,0.3006853419607843,51116.50813333333,4344903191.333333,85,4.344903191333333
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,0.1,70000,0.29470373529411764,50099.635,3506974450,70,3.50697445
