alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num,eligible_total_num,visas_demanded_num,revenue_num,revenue_maximising_fee_1000s,total_revenue_billions
1. old unweighted lottery,lottery winners,-0.1,139000,0.37367892823529403,211600,79070.46121458821,10990794108.82776,139,10.99079410882776
1. old unweighted lottery,lottery winners,0,117000,0.3507646360784315,211600,74221.7969941961,8683950248.320944,117,8.683950248320944
1. old unweighted lottery,lottery winners,0.1,97000,0.3315760635294117,211600,70161.49504282352,6805665019.153881,97,6.8056650191538814
"2a. weighted lottery, old wage levels",lottery winners,-0.1,131000,0.34948364039215674,205426.41126858842,71793.17004284266,9404905275.612389,131,9.40490527561239
"2a. weighted lottery, old wage levels",lottery winners,0,110000,0.32879127450980383,205426.41126858842,67542.41157897431,7429665273.687174,110,7.429665273687174
"2a. weighted lottery, old wage levels",lottery winners,0.1,91000,0.31308373294117653,205426.41126858842,64315.667684679036,5852725759.305792,91,5.852725759305792
"2b. weighted lottery, new wage levels",eligible applicants,-0.1,96000,0.3216678013441564,55877.72658856569,17974.065455853834,1725510283.7619681,96,1.7255102837619682
"2b. weighted lottery, new wage levels",eligible applicants,0,80000,0.3068611329318323,55877.72658856569,17146.70248662244,1371736198.929795,80,1.371736198929795
"2b. weighted lottery, new wage levels",eligible applicants,0.1,65000,0.3037692240551628,55877.72658856569,16973.93364777514,1103305687.105384,65,1.1033056871053841
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,-0.1,104000,0.30936641019607825,211600,65461.932397490156,6808040969.338976,104,6.808040969338976
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,0,85000,0.3006853419607843,211600,63625.01835890195,5408126560.506666,85,5.408126560506666
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,0.1,70000,0.29470373529411764,211600,62359.310388235295,4365151727.176471,70,4.365151727176471
