population,baseline_cost_num,baseline_cost_note,log_quantity_change_num,log_price_change_num,implied_elasticity_num,caveat
Initial consular I-129 H-1B receipts (Table A.7),460,"I-129 H-1B fee, pre-2024 rule (Table A.1)",-2.4340619838350976,5.386288427820895,-0.4518996738575759,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),780,"I-129 H-1B fee alone, post-2024 rule",-2.4340619838350976,4.861401282550951,-0.5006914349102771,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),1380,"I-129 H-1B fee, post-2024 rule, largest entities (Table A.1)",-2.4340619838350976,4.29679233387509,-0.5664835055316538,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),2000,fee plus modest filing overhead,-2.4340619838350976,3.9318256327243257,-0.619066614647547,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),3000,fee plus fraud prevention and ACWIA fees,-2.4340619838350976,3.5361166995615263,-0.6883432280775457,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),5000,fee plus statutory fees and premium processing,-2.4340619838350976,3.044522437723423,-0.7994889292572256,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),10000,"fee plus statutory fees, premium processing, and legal costs",-2.4340619838350976,2.3978952727983707,-1.0150826899935959,"Matched 245-day windows; population-level, not selected on outcome"
Initial consular I-129 H-1B receipts (Table A.7),20000,upper bound on all-in petition cost,-2.4340619838350976,1.791759469228055,-1.3584758588627783,"Matched 245-day windows; population-level, not selected on outcome"
"Cap registrations, 30 firms listed in Table A.6",460,"I-129 H-1B fee, pre-2024 rule (Table A.1)",-1.1437839626440534,5.386288427820895,-0.21235104246112357,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",780,"I-129 H-1B fee alone, post-2024 rule",-1.1437839626440534,4.861401282550951,-0.23527865653663319,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",1380,"I-129 H-1B fee, post-2024 rule, largest entities (Table A.1)",-1.1437839626440534,4.29679233387509,-0.26619484344790856,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",2000,fee plus modest filing overhead,-1.1437839626440534,3.9318256327243257,-0.29090404038378886,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",3000,fee plus fraud prevention and ACWIA fees,-1.1437839626440534,3.5361166995615263,-0.32345764006767114,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",5000,fee plus statutory fees and premium processing,-1.1437839626440534,3.044522437723423,-0.37568583777603265,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",10000,"fee plus statutory fees, premium processing, and legal costs",-1.1437839626440534,2.3978952727983707,-0.47699496121415036,Descriptive only: Table A.6 is selected on the dependent variable
"Cap registrations, 30 firms listed in Table A.6",20000,upper bound on all-in petition cost,-1.1437839626440534,1.791759469228055,-0.638357984030541,Descriptive only: Table A.6 is selected on the dependent variable
